,fid_loss,solution,norms
33,0.33,"[array([-0.76644081,  0.67228599, -0.06836308,  0.12831637,  0.02445438,
       -0.00998006,  0.02448668, -0.00546705])]",1.030468666635673
34,0.34,"[array([-0.76643831,  0.67236229, -0.06847328,  0.12839775,  0.02442383,
       -0.00997482,  0.02445903, -0.00545959])]",1.0305325648168355
35,0.35000000000000003,"[array([-0.76644252,  0.67226262, -0.06832831,  0.12829069,  0.0244639 ,
       -0.00998167,  0.02449528, -0.00546938])]",1.0304496454651766
36,0.36,"[array([-0.76644726,  0.67237532, -0.06848208,  0.12840421,  0.0244205 ,
       -0.00997398,  0.02445583, -0.00545883])]",1.0305489436492197
37,0.37,"[array([-0.76644669,  0.67240019, -0.06851774,  0.12843052,  0.02441058,
       -0.00997225,  0.02444683, -0.00545641])]",1.0305699247080813
38,0.38,"[array([-0.76646932,  0.6732511 , -0.06968904,  0.1292928 ,  0.02407535,
       -0.00991056,  0.02414062, -0.00537494])]",1.031312249887493
39,0.39,"[array([-0.76660739,  0.67253167, -0.06853133,  0.12843988,  0.02439118,
       -0.00996414,  0.02442608, -0.00545254])]",1.0307762428591272
40,0.4,"[array([-0.76653373,  0.67261464, -0.06872677,  0.12858436,  0.02434343,
       -0.00995785,  0.02438413, -0.00544052])]",1.0308043789554395
41,0.41000000000000003,"[array([-0.76607508,  0.67251684, -0.06907805,  0.12884514,  0.02428855,
       -0.00996131,  0.02434299, -0.00542471])]",1.03045327256456
42,0.42,"[array([-0.76644943,  0.67240691, -0.06852427,  0.12843533,  0.02440848,
       -0.00997181,  0.02444488, -0.00545591])]",1.0305772710885708
43,0.43,"[array([-0.76644806,  0.67238697, -0.06849764,  0.12841569,  0.02441607,
       -0.00997318,  0.02445179, -0.00545775])]",1.0305593986648969
44,0.44,"[array([-0.76639507,  0.67246198, -0.06865984,  0.12853558,  0.02437571,
       -0.00996763,  0.02441617, -0.00544764])]",1.0305927600329292
45,0.45,"[array([-0.76664274,  0.67272421, -0.06876468,  0.12861185,  0.02432217,
       -0.00995089,  0.02436269, -0.00543593])]",1.0309617967202294
46,0.46,"[array([-0.76644567,  0.6723532 , -0.06845262,  0.12838246,  0.0244289 ,
       -0.00997549,  0.02446348, -0.00546087])]",1.030529069487363
47,0.47000000000000003,"[array([-0.76644578,  0.67235416, -0.06845385,  0.12838337,  0.02442854,
       -0.00997542,  0.02446315, -0.00546078])]",1.030529958445033
48,0.48,"[array([-0.76644503,  0.67234242, -0.06843811,  0.12837175,  0.02443302,
       -0.00997623,  0.02446723, -0.00546187])]",1.0305194646935323
49,0.49,"[array([-0.76644048,  0.67243187, -0.06856898,  0.12846837,  0.02439682,
       -0.00997002,  0.02443446, -0.00545302])]",1.0305934371549343
50,0.5,"[array([-0.76644358,  0.67231647, -0.06840309,  0.1283459 ,  0.02444294,
       -0.009978  ,  0.02447626, -0.00546428])]",1.0304963936993286
51,0.51,"[array([-0.76647658,  0.67242365, -0.06851885,  0.12843122,  0.02440737,
       -0.00997081,  0.02444333, -0.00545579])]",1.0306074408272925
52,0.52,"[array([-0.76668608,  0.67282065, -0.06885414,  0.12867761,  0.02429272,
       -0.00994437,  0.02433506, -0.00542899])]",1.031069677606422
53,0.53,"[array([-0.76644849,  0.67243723, -0.06856797,  0.12846759,  0.02439632,
       -0.0099697 ,  0.02443386, -0.00545295])]",1.030602704632426
54,0.54,"[array([-0.76643783,  0.67225087, -0.06831675,  0.12828217,  0.02446758,
       -0.00998244,  0.0244987 , -0.00547025])]",1.030436849857021
55,0.55,"[array([-0.766318  ,  0.67309543, -0.06963155,  0.12925122,  0.0241066 ,
       -0.00992073,  0.02417209, -0.00538174])]",1.0310906752300033
56,0.56,"[array([-1.54118299,  1.36395097, -0.25305341,  0.2106286 ,  0.0419827 ,
       -0.0235839 ,  0.03490554, -0.01239819])]",2.085113561980506
57,0.5700000000000001,"[array([-0.7664467 ,  0.67236631, -0.06846998,  0.12839528,  0.02442394,
       -0.00997459,  0.02445896, -0.00545966])]",1.030540901635133
58,0.58,"[array([-0.76644094,  0.67228802, -0.06836581,  0.12831839,  0.0244536 ,
       -0.00997993,  0.02448597, -0.00546686])]",1.030470478149195
59,0.59,"[array([-0.7664708 ,  0.67315229, -0.06954898,  0.12918989,  0.02411555,
       -0.00991807,  0.02417742, -0.00538473])]",1.0312284192368486
60,0.6,"[array([-0.76644187,  0.67230027, -0.06838209,  0.1283304 ,  0.02444897,
       -0.0099791 ,  0.02448176, -0.00546574])]",1.0304815200064519
61,0.61,"[array([-0.76646774,  0.67330347, -0.06976409,  0.12934792,  0.02405382,
       -0.00990653,  0.02412092, -0.0053697 ])]",1.0313562179212934
62,0.62,"[array([-0.76643918,  0.67228187, -0.06835902,  0.12831338,  0.02445567,
       -0.00998034,  0.02448788, -0.00546735])]",1.03046418471961
63,0.63,"[array([-0.76644373,  0.67232844, -0.0684198 ,  0.12835824,  0.02443826,
       -0.00997718,  0.02447201, -0.00546314])]",1.0305067330876234
64,0.64,"[array([-0.76617564,  0.67274072, -0.06928539,  0.12899733,  0.02421973,
       -0.00994584,  0.02427825, -0.0054085 ])]",1.0307037256845843
65,0.65,"[array([-0.76644403,  0.67233604, -0.06843018,  0.12836591,  0.02443533,
       -0.00997666,  0.02446934, -0.00546242])]",1.0305134189619047
66,0.66,"[array([-0.76647062,  0.67320444, -0.06962227,  0.12924375,  0.02409447,
       -0.00991412,  0.02415812, -0.0053796 ])]",1.031273017708823
67,0.67,"[array([-0.76647508,  0.67331015, -0.06976565,  0.12934903,  0.02405266,
       -0.0099061 ,  0.02411971, -0.00536945])]",1.0313662230690848
